areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByVaccinationDate
K02000001,United Kingdom,overview,2023-03-29,52301610
K02000001,United Kingdom,overview,2023-03-28,52301488
K02000001,United Kingdom,overview,2023-03-27,52301419
K02000001,United Kingdom,overview,2023-03-26,52301345
K02000001,United Kingdom,overview,2023-03-25,52301374
K02000001,United Kingdom,overview,2023-03-24,52301175
K02000001,United Kingdom,overview,2023-03-23,52301069
K02000001,United Kingdom,overview,2023-03-22,52300935
K02000001,United Kingdom,overview,2023-03-21,52300837
K02000001,United Kingdom,overview,2023-03-20,52300732
K02000001,United Kingdom,overview,2023-03-19,52300637
K02000001,United Kingdom,overview,2023-03-18,52300662
K02000001,United Kingdom,overview,2023-03-17,52300457
K02000001,United Kingdom,overview,2023-03-16,52300323
K02000001,United Kingdom,overview,2023-03-15,52300239
K02000001,United Kingdom,overview,2023-03-14,52300150
K02000001,United Kingdom,overview,2023-03-13,52300062
K02000001,United Kingdom,overview,2023-03-12,52300030
K02000001,United Kingdom,overview,2023-03-11,52300044
K02000001,United Kingdom,overview,2023-03-10,52299812
K02000001,United Kingdom,overview,2023-03-09,52299726
K02000001,United Kingdom,overview,2023-03-08,52299704
K02000001,United Kingdom,overview,2023-03-07,52299617
K02000001,United Kingdom,overview,2023-03-06,52299599
K02000001,United Kingdom,overview,2023-03-05,52299545
K02000001,United Kingdom,overview,2023-03-04,52299554
K02000001,United Kingdom,overview,2023-03-03,52299283
K02000001,United Kingdom,overview,2023-03-02,52299165
K02000001,United Kingdom,overview,2023-03-01,52299116
K02000001,United Kingdom,overview,2023-02-28,52298964
K02000001,United Kingdom,overview,2023-02-27,52298800
K02000001,United Kingdom,overview,2023-02-26,52298731
K02000001,United Kingdom,overview,2023-02-25,52298753
K02000001,United Kingdom,overview,2023-02-24,52298447
K02000001,United Kingdom,overview,2023-02-23,52298302
K02000001,United Kingdom,overview,2023-02-22,52298177
K02000001,United Kingdom,overview,2023-02-21,52298105
K02000001,United Kingdom,overview,2023-02-20,52298005
K02000001,United Kingdom,overview,2023-02-19,52297907
K02000001,United Kingdom,overview,2023-02-18,52297922
K02000001,United Kingdom,overview,2023-02-17,52297542
K02000001,United Kingdom,overview,2023-02-16,52297325
K02000001,United Kingdom,overview,2023-02-15,52297156
K02000001,United Kingdom,overview,2023-02-14,52296999
K02000001,United Kingdom,overview,2023-02-13,52296877
K02000001,United Kingdom,overview,2023-02-12,52296749
K02000001,United Kingdom,overview,2023-02-11,52296684
K02000001,United Kingdom,overview,2023-02-10,52295897
K02000001,United Kingdom,overview,2023-02-09,52295521
K02000001,United Kingdom,overview,2023-02-08,52295204
K02000001,United Kingdom,overview,2023-02-07,52294866
