areaCode,areaName,areaType,date,cumPeopleVaccinatedSecondDoseByVaccinationDate
K02000001,United Kingdom,overview,2023-03-29,49865756
K02000001,United Kingdom,overview,2023-03-28,49865626
K02000001,United Kingdom,overview,2023-03-27,49865518
K02000001,United Kingdom,overview,2023-03-26,49865449
K02000001,United Kingdom,overview,2023-03-25,49865427
K02000001,United Kingdom,overview,2023-03-24,49864991
K02000001,United Kingdom,overview,2023-03-23,49864838
K02000001,United Kingdom,overview,2023-03-22,49864705
K02000001,United Kingdom,overview,2023-03-21,49864536
K02000001,United Kingdom,overview,2023-03-20,49864398
K02000001,United Kingdom,overview,2023-03-19,49864281
K02000001,United Kingdom,overview,2023-03-18,49864263
K02000001,United Kingdom,overview,2023-03-17,49863704
K02000001,United Kingdom,overview,2023-03-16,49863503
K02000001,United Kingdom,overview,2023-03-15,49863323
K02000001,United Kingdom,overview,2023-03-14,49863110
K02000001,United Kingdom,overview,2023-03-13,49863009
K02000001,United Kingdom,overview,2023-03-12,49862847
K02000001,United Kingdom,overview,2023-03-11,49862754
K02000001,United Kingdom,overview,2023-03-10,49862216
K02000001,United Kingdom,overview,2023-03-09,49861988
K02000001,United Kingdom,overview,2023-03-08,49861882
K02000001,United Kingdom,overview,2023-03-07,49861687
K02000001,United Kingdom,overview,2023-03-06,49861564
K02000001,United Kingdom,overview,2023-03-05,49861280
K02000001,United Kingdom,overview,2023-03-04,49861224
K02000001,United Kingdom,overview,2023-03-03,49860609
K02000001,United Kingdom,overview,2023-03-02,49860384
K02000001,United Kingdom,overview,2023-03-01,49860210
K02000001,United Kingdom,overview,2023-02-28,49860000
K02000001,United Kingdom,overview,2023-02-27,49859755
K02000001,United Kingdom,overview,2023-02-26,49859624
K02000001,United Kingdom,overview,2023-02-25,49859556
K02000001,United Kingdom,overview,2023-02-24,49858754
K02000001,United Kingdom,overview,2023-02-23,49858400
K02000001,United Kingdom,overview,2023-02-22,49858082
K02000001,United Kingdom,overview,2023-02-21,49857736
K02000001,United Kingdom,overview,2023-02-20,49857519
K02000001,United Kingdom,overview,2023-02-19,49857193
K02000001,United Kingdom,overview,2023-02-18,49857061
K02000001,United Kingdom,overview,2023-02-17,49856061
K02000001,United Kingdom,overview,2023-02-16,49855540
K02000001,United Kingdom,overview,2023-02-15,49855111
K02000001,United Kingdom,overview,2023-02-14,49854692
K02000001,United Kingdom,overview,2023-02-13,49854333
K02000001,United Kingdom,overview,2023-02-12,49853929
K02000001,United Kingdom,overview,2023-02-11,49853619
K02000001,United Kingdom,overview,2023-02-10,49851889
K02000001,United Kingdom,overview,2023-02-09,49851218
K02000001,United Kingdom,overview,2023-02-08,49850669
K02000001,United Kingdom,overview,2023-02-07,49850070
K02000001,United Kingdom,overview,2023-02-06,49849629
K02000001,United Kingdom,overview,2023-02-05,49849198
K02000001,United Kingdom,overview,2023-02-04,49848717
K02000001,United Kingdom,overview,2023-02-03,49847449
K02000001,United Kingdom,overview,2023-02-02,49846868
K02000001,United Kingdom,overview,2023-02-01,49846407
K02000001,United Kingdom,overview,2023-01-31,49845853
K02000001,United Kingdom,overview,2023-01-30,49845321
K02000001,United Kingdom,overview,2023-01-29,49844751
K02000001,United Kingdom,overview,2023-01-28,49844333
K02000001,United Kingdom,overview,2023-01-27,49842804
K02000001,United Kingdom,overview,2023-01-26,49842042
K02000001,United Kingdom,overview,2023-01-25,49841433
K02000001,United Kingdom,overview,2023-01-24,49840897
K02000001,United Kingdom,overview,2023-01-23,49840381
K02000001,United Kingdom,overview,2023-01-22,49839988
K02000001,United Kingdom,overview,2023-01-21,49839274
K02000001,United Kingdom,overview,2023-01-20,49837366
K02000001,United Kingdom,overview,2023-01-19,49836593
K02000001,United Kingdom,overview,2023-01-18,49835973
K02000001,United Kingdom,overview,2023-01-17,49835506
K02000001,United Kingdom,overview,2023-01-16,49834891
K02000001,United Kingdom,overview,2023-01-15,49834215
K02000001,United Kingdom,overview,2023-01-14,49833801
K02000001,United Kingdom,overview,2023-01-13,49832060
K02000001,United Kingdom,overview,2023-01-12,49831238
K02000001,United Kingdom,overview,2023-01-11,49830582
K02000001,United Kingdom,overview,2023-01-10,49829940
K02000001,United Kingdom,overview,2023-01-09,49829373
K02000001,United Kingdom,overview,2023-01-08,49828939
K02000001,United Kingdom,overview,2023-01-07,49828348
K02000001,United Kingdom,overview,2023-01-06,49826693
K02000001,United Kingdom,overview,2023-01-05,49826015
K02000001,United Kingdom,overview,2023-01-04,49825455
K02000001,United Kingdom,overview,2023-01-03,49824768
K02000001,United Kingdom,overview,2023-01-02,49824198
K02000001,United Kingdom,overview,2023-01-01,49824302
K02000001,United Kingdom,overview,2022-12-31,49824436
K02000001,United Kingdom,overview,2022-12-30,49824157
K02000001,United Kingdom,overview,2022-12-29,49823634
K02000001,United Kingdom,overview,2022-12-28,49822998
K02000001,United Kingdom,overview,2022-12-27,49822334
K02000001,United Kingdom,overview,2022-12-26,49822436
K02000001,United Kingdom,overview,2022-12-25,49822552
K02000001,United Kingdom,overview,2022-12-24,49822677
K02000001,United Kingdom,overview,2022-12-23,49822627
K02000001,United Kingdom,overview,2022-12-22,49822110
K02000001,United Kingdom,overview,2022-12-21,49821520
K02000001,United Kingdom,overview,2022-12-20,49820946
K02000001,United Kingdom,overview,2022-12-19,49820324
K02000001,United Kingdom,overview,2022-12-18,49819743
K02000001,United Kingdom,overview,2022-12-17,49819225
K02000001,United Kingdom,overview,2022-12-16,49817576
K02000001,United Kingdom,overview,2022-12-15,49816991
K02000001,United Kingdom,overview,2022-12-14,49816386
K02000001,United Kingdom,overview,2022-12-13,49815379
K02000001,United Kingdom,overview,2022-12-12,49814811
K02000001,United Kingdom,overview,2022-12-11,49814194
K02000001,United Kingdom,overview,2022-12-10,49812624
K02000001,United Kingdom,overview,2022-12-09,49810448
K02000001,United Kingdom,overview,2022-12-08,49809005
K02000001,United Kingdom,overview,2022-12-07,49807783
K02000001,United Kingdom,overview,2022-12-06,49807054
K02000001,United Kingdom,overview,2022-12-05,49806400
K02000001,United Kingdom,overview,2022-12-04,49805850
K02000001,United Kingdom,overview,2022-12-03,49804717
K02000001,United Kingdom,overview,2022-12-02,49802204
K02000001,United Kingdom,overview,2022-12-01,49801474
K02000001,United Kingdom,overview,2022-11-30,49800879
K02000001,United Kingdom,overview,2022-11-29,49800090
K02000001,United Kingdom,overview,2022-11-28,49799333
K02000001,United Kingdom,overview,2022-11-27,49798565
K02000001,United Kingdom,overview,2022-11-26,49797243
K02000001,United Kingdom,overview,2022-11-25,49794309
K02000001,United Kingdom,overview,2022-11-24,49793292
K02000001,United Kingdom,overview,2022-11-23,49792325
K02000001,United Kingdom,overview,2022-11-22,49791513
K02000001,United Kingdom,overview,2022-11-21,49790673
K02000001,United Kingdom,overview,2022-11-20,49789989
K02000001,United Kingdom,overview,2022-11-19,49788858
K02000001,United Kingdom,overview,2022-11-18,49785177
K02000001,United Kingdom,overview,2022-11-17,49784131
K02000001,United Kingdom,overview,2022-11-16,49783032
K02000001,United Kingdom,overview,2022-11-15,49782127
K02000001,United Kingdom,overview,2022-11-14,49781144
K02000001,United Kingdom,overview,2022-11-13,49780362
K02000001,United Kingdom,overview,2022-11-12,49778839
K02000001,United Kingdom,overview,2022-11-11,49775146
K02000001,United Kingdom,overview,2022-11-10,49774038
K02000001,United Kingdom,overview,2022-11-09,49772929
K02000001,United Kingdom,overview,2022-11-08,49771931
K02000001,United Kingdom,overview,2022-11-07,49771058
K02000001,United Kingdom,overview,2022-11-06,49770279
K02000001,United Kingdom,overview,2022-11-05,49769115
K02000001,United Kingdom,overview,2022-11-04,49765656
K02000001,United Kingdom,overview,2022-11-03,49764236
K02000001,United Kingdom,overview,2022-11-02,49763078
K02000001,United Kingdom,overview,2022-11-01,49761888
K02000001,United Kingdom,overview,2022-10-31,49760787
K02000001,United Kingdom,overview,2022-10-30,49759987
K02000001,United Kingdom,overview,2022-10-29,49758276
K02000001,United Kingdom,overview,2022-10-28,49754634
K02000001,United Kingdom,overview,2022-10-27,49752396
K02000001,United Kingdom,overview,2022-10-26,49750094
K02000001,United Kingdom,overview,2022-10-25,49747974
K02000001,United Kingdom,overview,2022-10-24,49746032
K02000001,United Kingdom,overview,2022-10-23,49744339
K02000001,United Kingdom,overview,2022-10-22,49742808
K02000001,United Kingdom,overview,2022-10-21,49738185
K02000001,United Kingdom,overview,2022-10-20,49736722
K02000001,United Kingdom,overview,2022-10-19,49735152
K02000001,United Kingdom,overview,2022-10-18,49733538
K02000001,United Kingdom,overview,2022-10-17,49732182
K02000001,United Kingdom,overview,2022-10-16,49731051
K02000001,United Kingdom,overview,2022-10-15,49729006
K02000001,United Kingdom,overview,2022-10-14,49723284
K02000001,United Kingdom,overview,2022-10-13,49721696
K02000001,United Kingdom,overview,2022-10-12,49720227
K02000001,United Kingdom,overview,2022-10-11,49718765
K02000001,United Kingdom,overview,2022-10-10,49717412
K02000001,United Kingdom,overview,2022-10-09,49716176
K02000001,United Kingdom,overview,2022-10-08,49714404
K02000001,United Kingdom,overview,2022-10-07,49709630
K02000001,United Kingdom,overview,2022-10-06,49708074
K02000001,United Kingdom,overview,2022-10-05,49706596
K02000001,United Kingdom,overview,2022-10-04,49705109
K02000001,United Kingdom,overview,2022-10-03,49703795
K02000001,United Kingdom,overview,2022-10-02,49702617
K02000001,United Kingdom,overview,2022-10-01,49700318
K02000001,United Kingdom,overview,2022-09-30,49695650
K02000001,United Kingdom,overview,2022-09-29,49693981
K02000001,United Kingdom,overview,2022-09-28,49692366
K02000001,United Kingdom,overview,2022-09-27,49690704
K02000001,United Kingdom,overview,2022-09-26,49689250
K02000001,United Kingdom,overview,2022-09-25,49687862
K02000001,United Kingdom,overview,2022-09-24,49685947
K02000001,United Kingdom,overview,2022-09-23,49681445
K02000001,United Kingdom,overview,2022-09-22,49678983
K02000001,United Kingdom,overview,2022-09-21,49677536
K02000001,United Kingdom,overview,2022-09-20,49675988
K02000001,United Kingdom,overview,2022-09-19,49674502
K02000001,United Kingdom,overview,2022-09-18,49674168
K02000001,United Kingdom,overview,2022-09-17,49671865
K02000001,United Kingdom,overview,2022-09-16,49667774
K02000001,United Kingdom,overview,2022-09-15,49666015
K02000001,United Kingdom,overview,2022-09-14,49664479
K02000001,United Kingdom,overview,2022-09-13,49662880
K02000001,United Kingdom,overview,2022-09-12,49661263
K02000001,United Kingdom,overview,2022-09-11,49659655
K02000001,United Kingdom,overview,2022-09-10,49658478
K02000001,United Kingdom,overview,2022-09-09,49655341
K02000001,United Kingdom,overview,2022-09-08,49654278
K02000001,United Kingdom,overview,2022-09-07,49653364
K02000001,United Kingdom,overview,2022-09-06,49652256
K02000001,United Kingdom,overview,2022-09-05,49651095
K02000001,United Kingdom,overview,2022-09-04,49483202
K02000001,United Kingdom,overview,2022-09-03,49482055
K02000001,United Kingdom,overview,2022-09-02,49478529
K02000001,United Kingdom,overview,2022-09-01,49476472
K02000001,United Kingdom,overview,2022-08-31,49474459
K02000001,United Kingdom,overview,2022-08-30,49470894
K02000001,United Kingdom,overview,2022-08-29,49467159
K02000001,United Kingdom,overview,2022-08-28,49466565
K02000001,United Kingdom,overview,2022-08-27,49465219
K02000001,United Kingdom,overview,2022-08-26,49461298
K02000001,United Kingdom,overview,2022-08-25,49458325
K02000001,United Kingdom,overview,2022-08-24,49455221
K02000001,United Kingdom,overview,2022-08-23,49452117
K02000001,United Kingdom,overview,2022-08-22,49448511
K02000001,United Kingdom,overview,2022-08-21,49445018
