areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2023-11-17,233791
K02000001,United Kingdom,overview,2023-11-16,233765
K02000001,United Kingdom,overview,2023-11-15,233736
K02000001,United Kingdom,overview,2023-11-14,233708
K02000001,United Kingdom,overview,2023-11-13,233668
K02000001,United Kingdom,overview,2023-11-12,233635
K02000001,United Kingdom,overview,2023-11-11,233609
K02000001,United Kingdom,overview,2023-11-10,233575
K02000001,United Kingdom,overview,2023-11-09,233535
K02000001,United Kingdom,overview,2023-11-08,233484
K02000001,United Kingdom,overview,2023-11-07,233444
K02000001,United Kingdom,overview,2023-11-06,233404
K02000001,United Kingdom,overview,2023-11-05,233356
K02000001,United Kingdom,overview,2023-11-04,233298
K02000001,United Kingdom,overview,2023-11-03,233256
K02000001,United Kingdom,overview,2023-11-02,233201
K02000001,United Kingdom,overview,2023-11-01,233159
K02000001,United Kingdom,overview,2023-10-31,233102
K02000001,United Kingdom,overview,2023-10-30,233055
K02000001,United Kingdom,overview,2023-10-29,233007
K02000001,United Kingdom,overview,2023-10-28,232938
K02000001,United Kingdom,overview,2023-10-27,232887
K02000001,United Kingdom,overview,2023-10-26,232836
K02000001,United Kingdom,overview,2023-10-25,232792
K02000001,United Kingdom,overview,2023-10-24,232729
K02000001,United Kingdom,overview,2023-10-23,232682
K02000001,United Kingdom,overview,2023-10-22,232638
K02000001,United Kingdom,overview,2023-10-21,232593
K02000001,United Kingdom,overview,2023-10-20,232542
K02000001,United Kingdom,overview,2023-10-19,232479
K02000001,United Kingdom,overview,2023-10-18,232415
K02000001,United Kingdom,overview,2023-10-17,232356
K02000001,United Kingdom,overview,2023-10-16,232297
K02000001,United Kingdom,overview,2023-10-15,232252
K02000001,United Kingdom,overview,2023-10-14,232199
K02000001,United Kingdom,overview,2023-10-13,232149
K02000001,United Kingdom,overview,2023-10-12,232114
K02000001,United Kingdom,overview,2023-10-11,232065
K02000001,United Kingdom,overview,2023-10-10,232001
K02000001,United Kingdom,overview,2023-10-09,231948
K02000001,United Kingdom,overview,2023-10-08,231897
K02000001,United Kingdom,overview,2023-10-07,231841
K02000001,United Kingdom,overview,2023-10-06,231779
K02000001,United Kingdom,overview,2023-10-05,231722
K02000001,United Kingdom,overview,2023-10-04,231668
K02000001,United Kingdom,overview,2023-10-03,231618
K02000001,United Kingdom,overview,2023-10-02,231578
K02000001,United Kingdom,overview,2023-10-01,231531
K02000001,United Kingdom,overview,2023-09-30,231479
K02000001,United Kingdom,overview,2023-09-29,231431
K02000001,United Kingdom,overview,2023-09-28,231390
K02000001,United Kingdom,overview,2023-09-27,231340
K02000001,United Kingdom,overview,2023-09-26,231288
K02000001,United Kingdom,overview,2023-09-25,231255
K02000001,United Kingdom,overview,2023-09-24,231214
K02000001,United Kingdom,overview,2023-09-23,231173
K02000001,United Kingdom,overview,2023-09-22,231134
K02000001,United Kingdom,overview,2023-09-21,231092
K02000001,United Kingdom,overview,2023-09-20,231058
K02000001,United Kingdom,overview,2023-09-19,231015
K02000001,United Kingdom,overview,2023-09-18,230971
K02000001,United Kingdom,overview,2023-09-17,230926
K02000001,United Kingdom,overview,2023-09-16,230890
K02000001,United Kingdom,overview,2023-09-15,230863
K02000001,United Kingdom,overview,2023-09-14,230820
K02000001,United Kingdom,overview,2023-09-13,230776
K02000001,United Kingdom,overview,2023-09-12,230727
K02000001,United Kingdom,overview,2023-09-11,230688
K02000001,United Kingdom,overview,2023-09-10,230650
K02000001,United Kingdom,overview,2023-09-09,230602
K02000001,United Kingdom,overview,2023-09-08,230558
K02000001,United Kingdom,overview,2023-09-07,230506
K02000001,United Kingdom,overview,2023-09-06,230466
K02000001,United Kingdom,overview,2023-09-05,230420
K02000001,United Kingdom,overview,2023-09-04,230374
K02000001,United Kingdom,overview,2023-09-03,230341
K02000001,United Kingdom,overview,2023-09-02,230302
K02000001,United Kingdom,overview,2023-09-01,230267
K02000001,United Kingdom,overview,2023-08-31,230241
K02000001,United Kingdom,overview,2023-08-30,230217
K02000001,United Kingdom,overview,2023-08-29,230181
K02000001,United Kingdom,overview,2023-08-28,230143
K02000001,United Kingdom,overview,2023-08-27,230119
K02000001,United Kingdom,overview,2023-08-26,230088
K02000001,United Kingdom,overview,2023-08-25,230064
K02000001,United Kingdom,overview,2023-08-24,230033
K02000001,United Kingdom,overview,2023-08-23,230004
K02000001,United Kingdom,overview,2023-08-22,229978
K02000001,United Kingdom,overview,2023-08-21,229945
K02000001,United Kingdom,overview,2023-08-20,229915
K02000001,United Kingdom,overview,2023-08-19,229882
K02000001,United Kingdom,overview,2023-08-18,229836
K02000001,United Kingdom,overview,2023-08-17,229808
K02000001,United Kingdom,overview,2023-08-16,229773
K02000001,United Kingdom,overview,2023-08-15,229740
K02000001,United Kingdom,overview,2023-08-14,229716
K02000001,United Kingdom,overview,2023-08-13,229689
K02000001,United Kingdom,overview,2023-08-12,229667
K02000001,United Kingdom,overview,2023-08-11,229630
K02000001,United Kingdom,overview,2023-08-10,229606
K02000001,United Kingdom,overview,2023-08-09,229572
K02000001,United Kingdom,overview,2023-08-08,229558
K02000001,United Kingdom,overview,2023-08-07,229544
K02000001,United Kingdom,overview,2023-08-06,229531
K02000001,United Kingdom,overview,2023-08-05,229511
K02000001,United Kingdom,overview,2023-08-04,229489
K02000001,United Kingdom,overview,2023-08-03,229476
K02000001,United Kingdom,overview,2023-08-02,229464
K02000001,United Kingdom,overview,2023-08-01,229444
K02000001,United Kingdom,overview,2023-07-31,229426
K02000001,United Kingdom,overview,2023-07-30,229409
K02000001,United Kingdom,overview,2023-07-29,229399
