,areaType,areaName,areaCode,date,newDailyNsoDeathsByDeathDate,cumDailyNsoDeathsByDeathDate,Week Commencing,Number of vaccinations delivered,Cumulative number of vaccinations delivered,Unnamed: 5
0,nation,England,E92000001,2020-12-07,2624.0,68989,2020-12-07,54723.0,54723,
1,nation,England,E92000001,2020-12-14,2853.0,71842,2020-12-14,456567.0,511290,
2,nation,England,E92000001,2020-12-21,3153.0,74995,2020-12-21,243434.0,754724,
3,nation,England,E92000001,2020-12-28,3939.0,78934,2020-12-28,316405.0,1071129,
4,nation,England,E92000001,2021-01-04,4859.0,83793,2021-01-04,1213225.0,2284354,
5,nation,England,E92000001,2021-01-11,6660.0,90453,2021-01-11,1498470.0,3782824,
6,nation,England,E92000001,2021-01-18,8375.0,98828,2021-01-18,2090093.0,5872917,
7,nation,England,E92000001,2021-01-25,8342.0,107170,2021-01-25,2093371.0,7966288,
8,nation,England,E92000001,2021-02-01,6988.0,114158,2021-02-01,2311250.0,10277538,
9,nation,England,E92000001,2021-02-08,5285.0,119443,2021-02-08,2252301.0,12529839,
10,nation,England,E92000001,2021-02-15,3974.0,123417,2021-02-15,2050453.0,14580292,
11,nation,England,E92000001,2021-02-22,2851.0,126268,2021-02-22,2316846.0,16897138,
12,nation,England,E92000001,2021-03-01,1999.0,128267,2021-03-01,1956566.0,18853704,"In the week commencing 6 November 2023, 396,996 vaccinations were delivered, taking the total number of COVID-19 vaccinations delivered to 156,361,940."
13,nation,England,E92000001,2021-03-08,1323.0,129590,2021-03-08,2067356.0,20921060,
14,nation,England,E92000001,2021-03-15,925.0,130515,2021-03-15,3529604.0,24450664,
15,nation,England,E92000001,2021-03-22,652.0,131167,2021-03-22,3136518.0,27587182,
16,nation,England,E92000001,2021-03-29,426.0,131593,2021-03-29,2245623.0,29832805,
17,nation,England,E92000001,2021-04-05,326.0,131919,2021-04-05,2221546.0,32054351,
18,nation,England,E92000001,2021-04-12,265.0,132184,2021-04-12,2576878.0,34631229,
19,nation,England,E92000001,2021-04-19,208.0,132392,2021-04-19,2831905.0,37463134,
20,nation,England,E92000001,2021-04-26,167.0,132559,2021-04-26,2760672.0,40223806,
21,nation,England,E92000001,2021-05-03,120.0,132679,2021-05-03,2705346.0,42929152,
22,nation,England,E92000001,2021-05-10,99.0,132778,2021-05-10,3125416.0,46054568,
23,nation,England,E92000001,2021-05-17,85.0,132863,2021-05-17,3447611.0,49502179,
24,nation,England,E92000001,2021-05-24,64.0,132927,2021-05-24,3354324.0,52856503,
25,nation,England,E92000001,2021-05-31,67.0,132994,2021-05-31,2832925.0,55689428,
26,nation,England,E92000001,2021-06-07,68.0,133062,2021-06-07,2714231.0,58403659,
27,nation,England,E92000001,2021-06-14,86.0,133148,2021-06-14,2380690.0,60784349,
28,nation,England,E92000001,2021-06-21,100.0,133248,2021-06-21,2046785.0,62831134,
29,nation,England,E92000001,2021-06-28,106.0,133354,2021-06-28,1625049.0,64456183,
30,nation,England,E92000001,2021-07-05,167.0,133521,2021-07-05,1361012.0,65817195,
31,nation,England,E92000001,2021-07-12,219.0,133740,2021-07-12,1334611.0,67151806,
32,nation,England,E92000001,2021-07-19,352.0,134092,2021-07-19,1190761.0,68342567,
33,nation,England,E92000001,2021-07-26,436.0,134528,2021-07-26,1108545.0,69451112,
34,nation,England,E92000001,2021-08-02,517.0,135045,2021-08-02,1074806.0,70525918,
35,nation,England,E92000001,2021-08-09,554.0,135599,2021-08-09,1175633.0,71701551,
36,nation,England,E92000001,2021-08-16,562.0,136161,2021-08-16,1245488.0,72947039,
37,nation,England,E92000001,2021-08-23,689.0,136850,2021-08-23,1062831.0,74009870,
38,nation,England,E92000001,2021-08-30,724.0,137574,2021-08-30,827776.0,74837646,
39,nation,England,E92000001,2021-09-06,803.0,138377,2021-09-06,645917.0,75483563,
40,nation,England,E92000001,2021-09-13,782.0,139159,2021-09-13,519853.0,76003416,
41,nation,England,E92000001,2021-09-20,816.0,139975,2021-09-20,760138.0,76763554,
42,nation,England,E92000001,2021-09-27,671.0,140646,2021-09-27,1261770.0,78025324,
43,nation,England,E92000001,2021-10-04,613.0,141259,2021-10-04,1547799.0,79573123,
44,nation,England,E92000001,2021-10-11,638.0,141897,2021-10-11,1677070.0,81250193,
45,nation,England,E92000001,2021-10-18,728.0,142625,2021-10-18,1884765.0,83134958,
46,nation,England,E92000001,2021-10-25,829.0,143454,2021-10-25,1860807.0,84995765,
47,nation,England,E92000001,2021-11-01,982.0,144436,2021-11-01,2137702.0,87133467,
48,nation,England,E92000001,2021-11-08,915.0,145351,2021-11-08,2290882.0,89424349,
49,nation,England,E92000001,2021-11-15,856.0,146207,2021-11-15,2288941.0,91713290,
50,nation,England,E92000001,2021-11-22,745.0,146952,2021-11-22,2403134.0,94116424,
51,nation,England,E92000001,2021-11-29,756.0,147708,2021-11-29,2527264.0,96643688,
52,nation,England,E92000001,2021-12-06,768.0,148476,2021-12-06,2814628.0,99458316,
53,nation,England,E92000001,2021-12-13,717.0,149193,2021-12-13,5145090.0,104603406,
54,nation,England,E92000001,2021-12-20,740.0,149933,2021-12-20,3107948.0,107711354,
55,nation,England,E92000001,2021-12-27,756.0,150689,2021-12-27,1637189.0,109348543,
56,nation,England,E92000001,2022-01-03,980.0,151669,2022-01-03,1535284.0,110883827,
57,nation,England,E92000001,2022-01-10,1300.0,152969,2022-01-10,936741.0,111820568,
58,nation,England,E92000001,2022-01-17,1414.0,154383,2022-01-17,665259.0,112485827,
59,nation,England,E92000001,2022-01-24,1342.0,155725,2022-01-24,595782.0,113081609,
60,nation,England,E92000001,2022-01-31,1180.0,156905,2022-01-31,442801.0,113524410,
61,nation,England,E92000001,2022-02-07,1049.0,157954,2022-02-07,447056.0,113971466,
62,nation,England,E92000001,2022-02-14,848.0,158802,2022-02-14,346933.0,114318399,
63,nation,England,E92000001,2022-02-21,717.0,159519,2022-02-21,318434.0,114636833,
64,nation,England,E92000001,2022-02-28,623.0,160142,2022-02-28,268529.0,114905362,
65,nation,England,E92000001,2022-03-07,595.0,160737,2022-03-07,251544.0,115156906,
66,nation,England,E92000001,2022-03-14,673.0,161410,2022-03-14,242115.0,115399021,
67,nation,England,E92000001,2022-03-21,805.0,162215,2022-03-21,510306.0,115909327,
68,nation,England,E92000001,2022-03-28,894.0,163109,2022-03-28,689358.0,116598685,
69,nation,England,E92000001,2022-04-04,1086.0,164195,2022-04-04,820303.0,117418988,
70,nation,England,E92000001,2022-04-11,1175.0,165370,2022-04-11,632668.0,118051656,
71,nation,England,E92000001,2022-04-18,1072.0,166442,2022-04-18,753175.0,118804831,
72,nation,England,E92000001,2022-04-25,863.0,167305,2022-04-25,680447.0,119485278,
73,nation,England,E92000001,2022-05-02,687.0,167992,2022-05-02,512427.0,119997705,
74,nation,England,E92000001,2022-05-09,555.0,168547,2022-05-09,476300.0,120474005,
75,nation,England,E92000001,2022-05-16,433.0,168980,2022-05-16,386673.0,120860678,
76,nation,England,E92000001,2022-05-23,307.0,169287,2022-05-23,324508.0,121185186,
77,nation,England,E92000001,2022-05-30,240.0,169527,2022-05-30,183950.0,121369136,
78,nation,England,E92000001,2022-06-06,218.0,169745,2022-06-06,252102.0,121621238,
79,nation,England,E92000001,2022-06-13,197.0,169942,2022-06-13,203886.0,121825124,
80,nation,England,E92000001,2022-06-20,255.0,170197,2022-06-20,212725.0,122037849,
81,nation,England,E92000001,2022-06-27,335.0,170532,2022-06-27,214411.0,122252260,
