areaType,areaName,areaCode,date,uniqueCasePositivityBySpecimenDateRollingSum,uniquePeopleTestedBySpecimenDateRollingSum
nation,England,E92000001,2023-12-04,8.7,28259
nation,England,E92000001,2023-12-03,8.5,28578
nation,England,E92000001,2023-12-02,8.2,28687
nation,England,E92000001,2023-12-01,8.1,28794
nation,England,E92000001,2023-11-30,8.2,29065
nation,England,E92000001,2023-11-29,8.0,29391
nation,England,E92000001,2023-11-28,7.8,29249
nation,England,E92000001,2023-11-27,7.6,29115
nation,England,E92000001,2023-11-26,7.6,29182
nation,England,E92000001,2023-11-25,7.7,29294
nation,England,E92000001,2023-11-24,7.7,29135
nation,England,E92000001,2023-11-23,7.6,29006
nation,England,E92000001,2023-11-22,7.8,29007
nation,England,E92000001,2023-11-21,7.8,28983
nation,England,E92000001,2023-11-20,8.0,29023
nation,England,E92000001,2023-11-19,8.1,29356
nation,England,E92000001,2023-11-18,8.1,29275
nation,England,E92000001,2023-11-17,8.2,28850
nation,England,E92000001,2023-11-16,8.4,28926
nation,England,E92000001,2023-11-15,8.4,28839
nation,England,E92000001,2023-11-14,8.6,29086
nation,England,E92000001,2023-11-13,8.7,28778
nation,England,E92000001,2023-11-12,8.9,28856
nation,England,E92000001,2023-11-11,8.9,28746
nation,England,E92000001,2023-11-10,9.1,28395
nation,England,E92000001,2023-11-09,9.1,28350
nation,England,E92000001,2023-11-08,9.4,28487
nation,England,E92000001,2023-11-07,9.5,28213
nation,England,E92000001,2023-11-06,9.6,28451
nation,England,E92000001,2023-11-05,9.8,28838
nation,England,E92000001,2023-11-04,10.0,29103
nation,England,E92000001,2023-11-03,10.1,29432
nation,England,E92000001,2023-11-02,10.5,29353
nation,England,E92000001,2023-11-01,10.8,29333
nation,England,E92000001,2023-10-31,11.2,29629
nation,England,E92000001,2023-10-30,11.7,29670
nation,England,E92000001,2023-10-29,12.1,29601
nation,England,E92000001,2023-10-28,12.1,29325
nation,England,E92000001,2023-10-27,12.3,29207
nation,England,E92000001,2023-10-26,12.5,29161
nation,England,E92000001,2023-10-25,12.6,29277
nation,England,E92000001,2023-10-24,12.8,29528
nation,England,E92000001,2023-10-23,12.8,29784
nation,England,E92000001,2023-10-22,12.7,30050
nation,England,E92000001,2023-10-21,12.8,30012
nation,England,E92000001,2023-10-20,12.9,29805
nation,England,E92000001,2023-10-19,13.0,29687
nation,England,E92000001,2023-10-18,13.2,29539
nation,England,E92000001,2023-10-17,13.6,29519
nation,England,E92000001,2023-10-16,14.2,29393
nation,England,E92000001,2023-10-15,14.6,30019
nation,England,E92000001,2023-10-14,15.0,30421
nation,England,E92000001,2023-10-13,15.3,30280
nation,England,E92000001,2023-10-12,15.9,30452
nation,England,E92000001,2023-10-11,16.4,30353
nation,England,E92000001,2023-10-10,16.7,29571
nation,England,E92000001,2023-10-09,17.0,29171
nation,England,E92000001,2023-10-08,17.1,29227
nation,England,E92000001,2023-10-07,17.2,28877
nation,England,E92000001,2023-10-06,17.5,28509
nation,England,E92000001,2023-10-05,17.6,28145
nation,England,E92000001,2023-10-04,17.5,28126
nation,England,E92000001,2023-10-03,17.5,28307
nation,England,E92000001,2023-10-02,17.6,28096
nation,England,E92000001,2023-10-01,17.5,27827
nation,England,E92000001,2023-09-30,17.4,27628
nation,England,E92000001,2023-09-29,17.3,27053
nation,England,E92000001,2023-09-28,17.0,26481
nation,England,E92000001,2023-09-27,16.8,25851
nation,England,E92000001,2023-09-26,16.3,25474
nation,England,E92000001,2023-09-25,15.7,25062
nation,England,E92000001,2023-09-24,15.2,24919
