,cumDailyNsoDeathsByDeathDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,hospitalCases,uniquePeopleTestedBySpecimenDateRollingSum
0,10,49865756,1,0
1,10,49865626,1,0
2,10,49865518,1,0
3,10,49865449,1,0
4,10,49865427,1,0
5,10,49864991,1,0
6,10,49864838,1,0
7,10,49864705,1,0
8,10,49864536,1,0
9,10,49864398,1,0
10,10,49864281,1,0
11,10,49864263,1,0
12,10,49863704,1,0
13,10,49863503,1,0
14,10,49863323,1,0
15,10,49863110,1,0
16,10,49863009,1,0
17,10,49862847,1,0
18,10,49862754,1,0
19,10,49862216,1,0
20,10,49861988,1,0
21,10,49861882,1,0
22,10,49861687,1,0
23,10,49861564,1,0
24,10,49861280,0,0
25,10,49861224,0,0
26,10,49860609,0,0
27,10,49860384,0,0
28,10,49860210,1,0
29,10,49860000,0,0
30,10,49859755,0,0
31,10,49859624,0,0
32,10,49859556,0,0
33,10,49858754,0,0
34,10,49858400,1,0
35,10,49858082,1,0
36,10,49857736,1,0
37,10,49857519,1,0
38,10,49857193,1,0
39,10,49857061,0,0
40,10,49856061,0,0
41,10,49855540,0,0
42,10,49855111,0,0
43,10,49854692,0,0
44,10,49854333,0,0
45,10,49853929,0,0
46,10,49853619,0,0
47,10,49851889,0,0
48,10,49851218,0,0
49,10,49850669,0,0
50,10,49850070,0,0
51,10,49849629,0,0
52,10,49849198,0,0
53,10,49848717,0,0
54,10,49847449,0,0
55,10,49846868,0,0
56,10,49846407,0,0
57,10,49845853,0,0
58,10,49845321,0,0
59,10,49844751,0,0
60,10,49844333,0,0
61,10,49842804,0,0
62,10,49842042,0,0
63,10,49841433,0,0
64,10,49840897,0,0
65,10,49840381,0,0
66,10,49839988,0,0
67,10,49839274,0,0
68,10,49837366,0,0
69,10,49836593,0,0
70,10,49835973,0,0
71,10,49835506,0,0
72,10,49834891,0,0
73,10,49834215,1,0
74,10,49833801,1,0
75,10,49832060,1,0
76,10,49831238,1,0
77,10,49830582,1,0
78,10,49829940,1,0
79,10,49829373,1,0
80,10,49828939,1,0
81,10,49828348,1,0
82,10,49826693,1,0
83,10,49826015,1,0
84,10,49825455,1,0
85,10,49824768,1,0
86,10,49824198,1,0
87,10,49824302,1,0
88,10,49824436,1,0
89,10,49824157,1,0
90,10,49823634,1,0
91,10,49822998,1,0
92,10,49822334,1,0
93,10,49822436,1,0
94,10,49822552,1,0
95,10,49822677,1,0
96,10,49822627,1,0
97,10,49822110,1,0
98,10,49821520,1,0
99,10,49820946,1,0
100,10,49820324,1,0
101,10,49819743,1,0
102,10,49819225,1,0
103,10,49817576,1,0
104,10,49816991,1,0
105,10,49816386,0,0
106,10,49815379,0,0
107,10,49814811,0,0
108,10,49814194,0,0
109,10,49812624,0,0
110,10,49810448,0,0
111,10,49809005,0,0
112,10,49807783,0,0
113,10,49807054,0,0
114,10,49806400,0,0
115,10,49805850,0,0
116,10,49804717,0,0
117,10,49802204,0,0
118,10,49801474,0,0
119,10,49800879,0,0
120,10,49800090,0,0
121,10,49799333,0,0
122,10,49798565,0,0
123,10,49797243,0,0
124,10,49794309,0,0
125,10,49793292,0,0
126,10,49792325,0,0
127,10,49791513,0,0
128,10,49790673,0,0
129,10,49789989,0,0
130,10,49788858,0,0
131,10,49785177,0,0
132,10,49784131,0,0
133,10,49783032,0,0
134,10,49782127,0,0
135,10,49781144,0,0
136,10,49780362,0,0
137,10,49778839,0,0
138,10,49775146,0,0
139,10,49774038,0,0
140,10,49772929,0,0
141,10,49771931,0,0
142,10,49771058,0,0
143,10,49770279,0,0
144,10,49769115,0,0
145,10,49765656,0,0
146,10,49764236,0,0
147,10,49763078,1,0
148,8,49761888,1,0
149,8,49760787,1,0
150,8,49759987,1,0
151,8,49758276,1,0
152,8,49754634,1,0
153,8,49752396,1,0
154,8,49750094,1,0
155,8,49747974,1,0
156,8,49746032,1,0
157,8,49744339,1,0
158,8,49742808,1,0
159,8,49738185,1,0
160,8,49736722,1,0
161,8,49735152,1,0
162,8,49733538,1,0
163,8,49732182,1,0
164,8,49731051,1,0
165,8,49729006,1,0
166,8,49723284,1,0
167,8,49721696,1,0
168,8,49720227,1,0
169,8,49718765,1,0
170,8,49717412,1,0
171,8,49716176,1,0
172,8,49714404,1,0
173,8,49709630,1,0
174,8,49708074,1,0
175,8,49706596,1,0
176,8,49705109,1,0
177,8,49703795,1,0
178,8,49702617,1,0
179,8,49700318,1,0
180,8,49695650,1,0
181,8,49693981,1,0
182,8,49692366,0,0
183,8,49690704,0,0
184,8,49689250,0,0
185,8,49687862,0,0
186,8,49685947,0,0
187,8,49681445,0,0
188,8,49678983,0,0
189,8,49677536,0,0
190,8,49675988,0,0
191,8,49674502,0,0
192,8,49674168,0,0
193,8,49671865,0,0
194,8,49667774,0,0
195,8,49666015,0,0
196,8,49664479,0,0
197,8,49662880,0,0
198,8,49661263,0,0
199,8,49659655,0,0
200,8,49658478,0,0
201,8,49655341,0,0
202,8,49654278,0,0
203,8,49653364,0,0
204,8,49652256,0,0
205,8,49651095,0,0
206,8,49483202,0,0
207,8,49482055,0,0
208,8,49478529,0,0
209,8,49476472,0,0
210,8,49474459,0,0
211,8,49470894,0,0
212,8,49467159,0,0
213,8,49466565,0,0
214,8,49465219,0,0
215,8,49461298,0,0
216,8,49458325,0,0
217,8,49455221,0,0
218,8,49452117,0,0
219,8,49448511,0,0
220,8,49445018,0,0
221,8,49443289,0,0
222,8,49438309,1,0
223,8,49435344,1,0
224,8,49432269,1,0
225,8,49429154,1,0
226,8,49425929,1,0
227,8,49422958,1,0
228,8,49420932,1,0
229,8,49416535,1,0
230,8,49413509,1,0
231,8,49410223,1,0
232,8,49406789,1,0
233,8,49403129,1,0
234,8,49399290,1,0
235,8,49396557,1,0
236,8,49390102,1,0
237,8,49385873,1,0
238,8,49381554,1,0
239,8,49377023,1,0
240,8,49372342,1,0
241,8,49367675,1,0
242,8,49363936,1,0
243,8,49355458,1,0
244,8,49350060,1,0
245,8,49343855,1,0
246,8,49338108,1,0
247,8,49332035,1,0
248,8,49325811,1,0
249,8,49321274,1,0
250,8,49309333,1,0
251,8,49302577,2,0
252,8,49296469,2,0
253,8,49291050,2,0
254,8,49287140,2,0
255,8,49283065,2,0
256,8,49277705,2,0
257,8,49262963,2,0
258,8,49256768,2,0
259,8,49250543,2,0
260,8,49244406,2,0
261,8,49238736,2,0
262,8,49233610,1,0
263,8,49227674,1,0
264,8,49212938,1,0
265,8,49206102,1,0
266,8,49199361,1,0
267,8,49192911,1,0
268,8,49186791,1,0
269,8,49180501,1,0
270,8,49173885,1,0
271,8,49158941,1,0
272,8,49152535,1,0
273,8,49146929,1,0
274,8,49141458,1,0
